,bathrooms_text
1 bath,9149
2 baths,4210
1 private bath,3245
1 shared bath,2837
1.5 baths,1399
2.5 baths,858
1.5 shared baths,615
3 baths,458
2 shared baths,309
3.5 baths,248
2.5 shared baths,151
4 baths,127
3 shared baths,110
4.5 baths,96
4 shared baths,62
5 baths,40
0 shared baths,37
3.5 shared baths,37
5.5 baths,31
6 shared baths,26
4.5 shared baths,23
6 baths,23
0 baths,18
7 baths,16
6.5 baths,12
5 shared baths,11
7.5 baths,9
Half-bath,9
8 baths,9
Shared half-bath,8
8 shared baths,8
9 baths,4
10 baths,4
8.5 baths,4
16 baths,3
Private half-bath,3
10 shared baths,2
50 baths,2
9.5 baths,2
13 baths,1
12 shared baths,1
15 shared baths,1
11 baths,1
15 baths,1
14 baths,1
20 baths,1
11.5 baths,1
9 shared baths,1
